filename,folder_name,meta_counter,peak_to_peak_t,systolic_peak_index,dychrotic_notch_index,diastolic_peak_index,A2_area,A1_area,A2_A1_ratio,a1,b1,ta1,tb1,a2,b2,ta2,tb2,b2_a2,systolic_peak_c,dychrotic_notch_c,diastolic_peak_c
0,clc,0.0,40.0,64.0,87.0,104.0,59.395848415272724,63.73877971113357,1.0731184318724896,0.01257355826176021,-0.029251587100374118,137.0,23.0,0.0024564602759951514,-0.0012765870452493555,4.0,41.0,-0.5196856052281121,1.0,1.0,1.0
0,clc,1.0,40.0,67.0,92.0,107.0,59.92564366803227,55.28940012593792,0.9226333960169444,0.015512000341014631,-0.023705245051913904,181.0,29.0,0.0018114487481521448,-0.0010150608536287908,195.0,51.0,-0.5603585829652936,1.0,1.0,1.0
0,clc,2.0,54.0,57.0,76.0,111.0,49.76164079330841,86.15284468455299,1.7313103690129568,0.02465628801682951,-0.028765885151848858,174.0,22.0,0.0024088790041537768,-0.001212037365194929,4.0,41.0,-0.503154107410517,1.0,1.0,1.0
1,clc,0.0,52.0,57.0,81.0,109.0,53.84351979097358,65.30212832229599,1.2128131402962876,0.014187941071131444,-0.028370187781454725,176.0,26.0,0.0019761483662815715,-0.0015794261202422,4.0,44.0,-0.7992447061118868,1.0,1.0,1.0
1,clc,1.0,68.0,63.0,92.0,131.0,63.09715211558878,56.720944718401185,0.8989461935539196,0.019469892102905784,-0.027573928811328245,174.0,25.0,0.0017385000221968596,-0.0012526454579981914,5.0,38.0,-0.7205323221194345,1.0,1.0,1.0
1,clc,2.0,59.0,57.0,75.0,116.0,51.52386666848457,94.34623149547234,1.83111706468996,0.032016346775838984,-0.020556568366954298,177.0,28.0,0.0025593755052774475,-0.0017056222927152036,195.0,160.0,-0.6664212770647371,1.0,1.0,1.0
10,clc,0.0,105.0,68.0,173.0,173.0,112.96152153650169,2.6176108336167117,0.02317258831159487,0.015005928166096003,-0.02406647992499339,175.0,30.0,0.0015727593136865279,-0.0010331022640313048,4.0,52.0,-0.6568724502477916,1.0,1.0,1.0
10,clc,1.0,86.0,88.0,174.0,174.0,120.32471357848404,2.843435727061607,0.023631352550088736,0.015503813546075138,-0.022080091204464525,179.0,29.0,0.0016117632344804134,-0.0008485709186845103,195.0,48.0,-0.526486087119406,1.0,1.0,1.0
10,clc,2.0,70.0,74.0,97.0,144.0,63.7713800297451,77.50911411873935,1.215421621463837,0.012172066495209629,-0.023938025481592462,180.0,23.0,0.002113530579771889,-0.0007432497059260967,4.0,167.0,-0.3516626222679564,1.0,1.0,1.0
100,clc,0.0,39.0,53.0,70.0,92.0,42.22774811070495,69.81622241366135,1.6533257286329832,0.01381326873455918,-0.03069149663941084,181.0,27.0,0.0018773938092916946,-0.0019989017451051967,13.0,43.0,-1.0647216024747337,1.0,1.0,1.0
100,clc,1.0,38.0,62.0,82.0,100.0,55.02448596628246,74.90192626256557,1.3612471783646187,0.014436378032973375,-0.03040122603698353,171.0,22.0,0.002354221133799239,-0.0014796762367512706,4.0,38.0,-0.6285204968674166,1.0,1.0,1.0
101,clc,0.0,45.0,59.0,81.0,104.0,52.31532955026557,68.49004688547157,1.3091773955024983,0.016899336746936056,-0.02957624177438717,180.0,25.0,0.0019428252193959133,-0.0014390326694377895,6.0,41.0,-0.7406907502905645,1.0,1.0,1.0
101,clc,1.0,46.0,60.0,80.0,106.0,52.30617807042936,76.83230733229539,1.4688954568395725,0.013471493768692557,-0.029816595997736683,182.0,23.0,0.0021905755062860896,-0.0013562308444239335,5.0,41.0,-0.6191207929295679,1.0,1.0,1.0
102,clc,0.0,33.0,55.0,74.0,88.0,48.67938059279464,82.90458165404637,1.7030738814765778,0.01709876491496165,-0.032163156031978064,174.0,21.0,0.0023932373542070308,-0.001443923453925855,6.0,38.0,-0.6033348307001838,1.0,1.0,1.0
102,clc,1.0,38.0,55.0,71.0,93.0,42.65187685134383,83.00153685360604,1.9460230822407747,0.016136628637193614,-0.02944611550516063,175.0,26.0,0.001784277259201113,-0.0016984195616653874,5.0,47.0,-0.9518809663167668,1.0,1.0,1.0
102,clc,2.0,33.0,56.0,67.0,89.0,37.70583172836957,95.20967351856576,2.5250649343701057,0.01825757460104737,-0.02979798684090706,180.0,23.0,0.00201694256238992,-0.0014849283585187667,6.0,40.0,-0.7362273900151336,1.0,1.0,1.0
103,clc,0.0,35.0,54.0,70.0,89.0,44.27592732797971,85.12191372102996,1.9225326008527908,0.0156051362631007,-0.03139808180812487,177.0,22.0,0.002327805849298384,-0.0014420760496598461,6.0,37.0,-0.6195001400544197,1.0,1.0,1.0
103,clc,1.0,39.0,56.0,72.0,95.0,43.94420451750703,84.49620371071892,1.9228065370271128,0.01632743695040717,-0.028550169487282725,180.0,24.0,0.0018385115657305047,-0.0013662509088245847,6.0,45.0,-0.7431288082660089,1.0,1.0,1.0
